,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
191,2023-07-18 00:00:00-04:00,451.0,478.1499938964844,448.7799987792969,474.79998779296875,13196900,0.0,0.0
192,2023-07-19 00:00:00-04:00,476.8599853515625,485.0,470.0,477.5899963378906,20996500,0.0,0.0
193,2023-07-20 00:00:00-04:00,447.0,448.5,432.0,437.4200134277344,23989700,0.0,0.0
194,2023-07-21 00:00:00-04:00,437.3699951171875,438.239990234375,423.19000244140625,427.5,17303700,0.0,0.0
195,2023-07-24 00:00:00-04:00,425.0,428.6400146484375,419.19000244140625,428.3699951171875,8264400,0.0,0.0
196,2023-07-25 00:00:00-04:00,427.17999267578125,430.8800048828125,426.1300048828125,427.70001220703125,4859800,0.0,0.0
197,2023-07-26 00:00:00-04:00,424.20001220703125,425.260009765625,415.5899963378906,422.6700134277344,6009200,0.0,0.0
198,2023-07-27 00:00:00-04:00,426.8999938964844,427.5199890136719,411.8800048828125,413.1700134277344,6594500,0.0,0.0
199,2023-07-28 00:00:00-04:00,415.55999755859375,427.4700012207031,413.760009765625,425.7799987792969,6424200,0.0,0.0
200,2023-07-31 00:00:00-04:00,426.510009765625,439.1300048828125,426.29998779296875,438.9700012207031,6587600,0.0,0.0
201,2023-08-01 00:00:00-04:00,437.3699951171875,445.25,431.3999938964844,438.6199951171875,5711500,0.0,0.0
202,2023-08-02 00:00:00-04:00,435.2300109863281,435.55999755859375,426.55999755859375,429.70001220703125,4912200,0.0,0.0
203,2023-08-03 00:00:00-04:00,427.79998779296875,441.92999267578125,427.19000244140625,431.0,6243900,0.0,0.0
204,2023-08-04 00:00:00-04:00,433.05999755859375,436.5,426.2699890136719,431.6000061035156,5439700,0.0,0.0
205,2023-08-07 00:00:00-04:00,436.4599914550781,441.1099853515625,428.9100036621094,440.760009765625,4781300,0.0,0.0
206,2023-08-08 00:00:00-04:00,440.3599853515625,443.57000732421875,435.1000061035156,438.29998779296875,3767200,0.0,0.0
207,2023-08-09 00:00:00-04:00,439.739990234375,440.6199951171875,427.5899963378906,428.8999938964844,3846600,0.0,0.0
208,2023-08-10 00:00:00-04:00,431.1199951171875,438.1199951171875,428.69000244140625,429.9800109863281,5467600,0.0,0.0
209,2023-08-11 00:00:00-04:00,428.9800109863281,430.6300048828125,421.3299865722656,421.6600036621094,3925200,0.0,0.0
210,2023-08-14 00:00:00-04:00,421.989990234375,428.8500061035156,418.7799987792969,427.7799987792969,3966000,0.0,0.0
211,2023-08-15 00:00:00-04:00,424.4100036621094,429.1199951171875,421.0400085449219,423.70001220703125,3368000,0.0,0.0
212,2023-08-16 00:00:00-04:00,423.7300109863281,424.510009765625,415.25,415.45001220703125,3967000,0.0,0.0
213,2023-08-17 00:00:00-04:00,415.0,415.239990234375,401.5799865722656,403.0,6031500,0.0,0.0
214,2023-08-18 00:00:00-04:00,399.3299865722656,406.5199890136719,398.1499938964844,404.5299987792969,4309200,0.0,0.0
215,2023-08-21 00:00:00-04:00,402.2300109863281,409.6099853515625,399.5,408.2900085449219,3861600,0.0,0.0
216,2023-08-22 00:00:00-04:00,409.0,415.739990234375,407.3999938964844,413.1700134277344,3603300,0.0,0.0
217,2023-08-23 00:00:00-04:00,418.3999938964844,437.0199890136719,417.7099914550781,427.54998779296875,8174700,0.0,0.0
218,2023-08-24 00:00:00-04:00,425.4100036621094,427.5899963378906,406.1700134277344,406.92999267578125,5687800,0.0,0.0
219,2023-08-25 00:00:00-04:00,412.0,419.25,407.55999755859375,416.0299987792969,5390900,0.0,0.0
220,2023-08-28 00:00:00-04:00,418.0400085449219,419.8299865722656,413.2699890136719,418.05999755859375,2928600,0.0,0.0
221,2023-08-29 00:00:00-04:00,416.0,432.1700134277344,414.5,429.989990234375,4486700,0.0,0.0
222,2023-08-30 00:00:00-04:00,430.8500061035156,438.1600036621094,428.3500061035156,434.6700134277344,3625400,0.0,0.0
223,2023-08-31 00:00:00-04:00,431.2300109863281,437.1499938964844,431.2300109863281,433.67999267578125,3803000,0.0,0.0
224,2023-09-01 00:00:00-04:00,437.7300109863281,445.5,435.92999267578125,439.8800048828125,4792100,0.0,0.0
225,2023-09-05 00:00:00-04:00,438.3900146484375,453.45001220703125,438.0,448.67999267578125,6155900,0.0,0.0
226,2023-09-06 00:00:00-04:00,448.6099853515625,451.3900146484375,440.489990234375,445.760009765625,3862300,0.0,0.0
227,2023-09-07 00:00:00-04:00,441.1499938964844,444.6000061035156,436.70001220703125,443.1400146484375,2922700,0.0,0.0
228,2023-09-08 00:00:00-04:00,443.55999755859375,446.80999755859375,438.8500061035156,442.79998779296875,2697500,0.0,0.0
